,lon,lat,alt,NAME,population,area,density
250,120.266,23.774,5,雲林縣麥寮鄉,45665,80.1668,570
251,120.26,23.831,3,雲林縣麥寮鄉,45665,80.1668,570
252,120.19,23.791,5,雲林縣麥寮鄉,45665,80.1668,570
253,120.18,23.791,0,雲林縣麥寮鄉,45665,80.1668,570
254,120.234,23.789,2,雲林縣麥寮鄉,45665,80.1668,570
255,120.22,23.861,0,雲林縣麥寮鄉,45665,80.1668,570
256,120.27,23.781,5,雲林縣麥寮鄉,45665,80.1668,570
257,120.27,23.801,5,雲林縣麥寮鄉,45665,80.1668,570
258,120.2,23.811,5,雲林縣麥寮鄉,45665,80.1668,570
259,120.17,23.771,3,雲林縣麥寮鄉,45665,80.1668,570
260,120.3,23.771,8,雲林縣麥寮鄉,45665,80.1668,570
261,120.19,23.811,5,雲林縣麥寮鄉,45665,80.1668,570
262,120.27,23.751,6,雲林縣麥寮鄉,45665,80.1668,570
263,120.22,23.811,4,雲林縣麥寮鄉,45665,80.1668,570
264,120.23,23.791,2,雲林縣麥寮鄉,45665,80.1668,570
265,120.27,23.771,5,雲林縣麥寮鄉,45665,80.1668,570
266,120.23,23.771,1,雲林縣麥寮鄉,45665,80.1668,570
267,120.22,23.831,0,雲林縣麥寮鄉,45665,80.1668,570
268,120.25,23.791,4,雲林縣麥寮鄉,45665,80.1668,570
269,120.26,23.741,5,雲林縣麥寮鄉,45665,80.1668,570
270,120.27,23.741,7,雲林縣麥寮鄉,45665,80.1668,570
271,120.2,23.761,2,雲林縣麥寮鄉,45665,80.1668,570
272,120.25,23.811,8,雲林縣麥寮鄉,45665,80.1668,570
273,120.28,23.791,6,雲林縣麥寮鄉,45665,80.1668,570
274,120.24,23.751,3,雲林縣麥寮鄉,45665,80.1668,570
275,120.21,23.811,3,雲林縣麥寮鄉,45665,80.1668,570
276,120.17,23.791,0,雲林縣麥寮鄉,45665,80.1668,570
277,120.29,23.791,6,雲林縣麥寮鄉,45665,80.1668,570
278,120.288,23.759,7,雲林縣麥寮鄉,45665,80.1668,570
279,120.28,23.771,5,雲林縣麥寮鄉,45665,80.1668,570
280,120.26,23.751,6,雲林縣麥寮鄉,45665,80.1668,570
281,120.2,23.791,6,雲林縣麥寮鄉,45665,80.1668,570
282,120.26,23.791,4,雲林縣麥寮鄉,45665,80.1668,570
283,120.27,23.791,5,雲林縣麥寮鄉,45665,80.1668,570
284,120.24,23.841,0,雲林縣麥寮鄉,45665,80.1668,570
285,120.22,23.791,1,雲林縣麥寮鄉,45665,80.1668,570
286,120.25,23.751,5,雲林縣麥寮鄉,45665,80.1668,570
287,120.28,23.741,7,雲林縣麥寮鄉,45665,80.1668,570
288,120.24,23.791,3,雲林縣麥寮鄉,45665,80.1668,570
289,120.29,23.771,7,雲林縣麥寮鄉,45665,80.1668,570
290,120.23,23.811,4,雲林縣麥寮鄉,45665,80.1668,570
291,120.21,23.841,0,雲林縣麥寮鄉,45665,80.1668,570
292,120.2,23.821,0,雲林縣麥寮鄉,45665,80.1668,570
293,120.27,23.811,7,雲林縣麥寮鄉,45665,80.1668,570
294,120.25,23.771,5,雲林縣麥寮鄉,45665,80.1668,570
295,120.24,23.771,3,雲林縣麥寮鄉,45665,80.1668,570
296,120.26,23.771,4,雲林縣麥寮鄉,45665,80.1668,570
297,120.22,23.841,0,雲林縣麥寮鄉,45665,80.1668,570
298,120.26,23.811,8,雲林縣麥寮鄉,45665,80.1668,570
299,120.22,23.771,2,雲林縣麥寮鄉,45665,80.1668,570
300,120.62,23.871,255,彰化縣田中鎮,41890,34.6056,1210
301,120.59,23.841,54,彰化縣田中鎮,41890,34.6056,1210
302,120.56,23.881,38,彰化縣田中鎮,41890,34.6056,1210
303,120.62,23.861,237,彰化縣田中鎮,41890,34.6056,1210
